order_id,customer_id,platform,city,category,quantity,mrp,selling_price,discount_percent,delivery_fee,promised_time,delivery_time,order_value,payment_mode,membership,coupon_used,weekend,rating,delivery_partner
10014,C1168,Zepto,Hyderabad,Household,4,496,396.8,20,19.0,30,41,2777.6,Card,Gold,No,No,,Rider A
10015,C1132,Zepto,Pune,Beverages,6,97,67.9,30,39.0,20,30,407.4,COD,Gold,Yes,Yes,2.0,Rider D
10016,C1000,BigBasket Now,Pune,Dairy,2,442,397.8,10,59.0,15,25,795.6,Wallet,None,Yes,No,2.0,Rider D
10017,C1205,Blinkit,Pune,Vegetables,3,720,720.0,0,19.0,25,34,720.0,Card,None,No,Yes,5.0,Rider E
10018,C1280,Zepto,Chennai,Fruits,2,1011,758.25,25,49.0,20,19,2274.75,Wallet,,Yes,Yes,3.0,Rider B
10019,C1166,Instamart,,Snacks,3,639,511.2,20,0.0,15,28,3067.2,Wallet,None,No,Yes,5.0,Rider B
10020,C1093,Blinkit,Bengaluru,Vegetables,3,1112,889.6,20,39.0,10,19,1779.2,UPI,Silver,No,Yes,5.0,Rider A
10021,C1050,BigBasket Now,Hyderabad,Fruits,2,548,520.6,5,39.0,20,16,3123.6,Card,None,No,No,5.0,Rider E
10022,C1267,Instamart,Hyderabad,Vegetables,8,1019,815.2,20,19.0,15,32,5706.4,UPI,Silver,No,No,1.0,Rider B
10023,C1155,Blinkit,Bengaluru,Personal Care,6,917,917.0,0,19.0,15,31,4585.0,Card,Silver,Yes,Yes,4.0,Rider D
10024,C1220,BigBasket Now,Mumbai,fruit,4,373,279.75,25,29.0,15,15,1678.5,UPI,None,No,Yes,3.0,Rider E
10025,C1169,Instamart,Hyderabad,Fruits,2,979,832.15,15,19.0,10,17,1664.3,UPI,Silver,No,Yes,2.0,Rider C
10026,C1132,BigBasket Now,Bengaluru,Beverages,8,305,213.5,30,59.0,25,41,1281.0,UPI,Silver,Yes,Yes,4.0,Rider A
10027,C1042,Zepto,Chennai,Dairy,2,590,590.0,0,39.0,10,13,590.0,COD,None,No,No,5.0,Rider B
10028,C1082,,Chennai,Vegetables,4,128,102.4,20,29.0,15,13,512.0,Card,Silver,No,Yes,3.0,Rider C
10029,C1009,Zepto,Hyderabad,Snacks,4,77,69.3,10,39.0,10,5,138.6,Wallet,None,No,No,5.0,Rider C
10030,C1071,blinkit,Mumbai,Fruits,3,480,456.0,5,0.0,20,21,912.0,COD,Silver,Yes,Yes,1.0,Rider D
10031,C1124,Instamart,Chennai,Snacks,3,1076,807.0,25,19.0,20,34,4035.0,Wallet,Gold,No,No,3.0,Rider E
10032,C1111,Instamart,Bengaluru,Fruits,6,702,666.9,5,39.0,10,14,1333.8,Wallet,Silver,Yes,Yes,5.0,Rider A
10033,C1204,Blinkit,Delhi,Fruits,5,226,203.4,10,29.0,10,9,813.6,UPI,None,Yes,No,3.0,Rider D
10034,C1074,Blinkit,Pune,Beverages,7,346,311.4,10,59.0,30,45,934.2,UPI,None,Yes,Yes,1.0,Rider A
10035,C1192,BigBasket Now,Hyderabad,Fruits,1,312,234.0,25,59.0,20,18,936.0,Wallet,Silver,Yes,No,1.0,Rider E
10036,C1242,Instamart,Chennai,Household,5,1136,1136.0,0,19.0,30,27,4544.0,Card,None,No,No,4.0,Rider A
10037,C1101,Blinkit,Hyderabad,Vegetables,6,1021,765.75,25,29.0,20,16,3828.75,Card,Gold,No,Yes,4.0,Rider C
10038,C1250,Instamart,Pune,Beverages,5,243,182.25,25,39.0,15,31,1458.0,Wallet,Gold,Yes,No,1.0,Rider D
10039,C1259,BigBasket Now,Mumbai,Snacks,4,75,67.5,10,19.0,25,22,135.0,UPI,Gold,No,No,2.0,Rider E
10040,C1186,Zepto,Delhi,Snacks,7,1081,972.9,10,0.0,10,27,2918.7,UPI,Silver,No,No,3.0,Rider B
10041,C1061,Instamart,Chennai,Dairy,6,892,802.8,10,39.0,25,30,1605.6,Card,None,Yes,No,3.0,Rider C
10042,C1039,Instamart,Delhi,Household,5,173,147.05,15,0.0,25,38,735.25,UPI,Gold,No,Yes,2.0,Rider C
10043,C1191,BigBasket Now,Chennai,Household,7,933,746.4,20,49.0,20,21,2985.6,UPI,Gold,No,No,5.0,Rider B
10044,C1065,Zepto,Delhi,Snacks,6,626,532.1,15,29.0,10,22,2660.5,COD,None,No,No,,Rider B
10045,C1201,Blinkit,Bengaluru,Personal Care,3,656,557.6,15,0.0,30,46,2230.4,Wallet,None,Yes,No,3.0,Rider D
10046,C1124,Blinkit,Bengaluru,Dairy,2,915,869.25,5,29.0,30,31,3477.0,COD,Silver,Yes,Yes,,Rider D
10047,C1192,Instamart,Mumbai,Household,1,824,700.4,15,39.0,30,31,3502.0,COD,Gold,Yes,Yes,3.0,Rider B
10048,C1159,Blinkit,Bengaluru,Fruits,7,827,702.95,15,59.0,25,33,5623.6,Wallet,,Yes,No,5.0,Rider D
10049,C1079,Zepto,Hyderabad,Personal Care,2,959,911.05,5,59.0,10,12,7288.4,UPI,None,Yes,Yes,2.0,Rider B
10050,C1128,BigBasket Now,Pune,Household,2,116,87.0,25,0.0,20,19,174.0,COD,None,Yes,No,3.0,Rider B
10051,C1235,Instamart,Mumbai,Personal Care,4,42,42.0,0,39.0,30,34,168.0,Card,Gold,No,No,1.0,Rider A
10052,C1131,Zepto,Pune,Snacks,6,437,371.45,15,19.0,25,22,2971.6,UPI,None,No,No,3.0,Rider D
10053,C1258,Blinkit,Bengaluru,Snacks,4,445,445.0,0,29.0,20,38,1780.0,Card,Silver,Yes,No,3.0,Rider A
10054,C1248,BigBasket Now,Pune,Fruits,3,1055,844.0,20,39.0,15,17,844.0,Card,Gold,Yes,No,1.0,Rider A
10055,C1160,Blinkit,Chennai,Vegetables,6,417,354.45,15,19.0,25,42,1063.35,Wallet,Gold,No,No,3.0,Rider C
10056,C1040,Instamart,Chennai,Dairy,7,946,898.7,5,0.0,10,5,3594.8,Wallet,Silver,No,No,1.0,Rider A
10057,C1228,Zepto,Mumbai,Dairy,8,1009,958.55,5,0.0,20,32,6709.85,Card,None,No,Yes,4.0,Rider A
10058,C1099,Blinkit,Hyderabad,Dairy,6,990,990.0,0,29.0,10,13,5940.0,UPI,Silver,No,No,3.0,Rider A
10059,C1243,BigBasket Now,Delhi,Household,5,173,173.0,0,39.0,15,13,1384.0,Card,Silver,Yes,Yes,,Rider C
10060,C1163,BigBasket Now,,Household,2,349,279.2,20,49.0,15,20,1116.8,Wallet,Gold,Yes,No,1.0,Rider A
10061,C1082,BigBasket Now,Chennai,Fruits,5,1026,820.8,20,49.0,30,35,1641.6,Card,Gold,No,No,,Rider D
10062,C1235,Zepto,Pune,Beverages,2,394,374.3,5,29.0,15,23,1871.5,COD,None,No,No,3.0,Rider C
10063,C1125,Zepto,Bengaluru,Dairy,4,447,379.95,15,29.0,15,15,759.9,Wallet,Silver,Yes,Yes,,Rider A
10064,C1243,Zepto,Delhi,Dairy,1,990,990.0,0,29.0,10,5,3960.0,UPI,Gold,Yes,Yes,1.0,Rider C
10065,C1133,Blinkit,Chennai,Personal Care,6,1089,762.3,30,19.0,15,24,762.3,COD,Silver,Yes,Yes,2.0,Rider C
10066,C1167,BigBasket Now,Pune,Dairy,3,118,94.4,20,49.0,15,10,472.0,UPI,Gold,Yes,No,5.0,Rider D
10067,C1281,Zepto,Pune,Beverages,2,169,143.65,15,59.0,10,17,430.95,Wallet,None,No,No,3.0,Rider C
10068,C1290,Instamart,Delhi,Snacks,1,895,895.0,0,29.0,20,38,3580.0,Wallet,None,No,Yes,1.0,Rider D
10069,C1207,Instamart,Delhi,Household,3,360,306.0,15,19.0,10,7,306.0,UPI,None,Yes,No,1.0,Rider E
10070,C1074,Instamart,Mumbai,Vegetables,3,799,599.25,25,0.0,30,30,1198.5,Wallet,Silver,Yes,No,2.0,Rider A
10071,C1198,Blinkit,Pune,Beverages,3,1028,925.2,10,59.0,10,24,3700.8,Wallet,None,Yes,No,2.0,Rider E
10072,C1080,BigBasket Now,Mumbai,Fruits,3,486,486.0,0,19.0,25,36,1944.0,UPI,None,Yes,No,1.0,Rider D
10073,C1215,Instamart, Chennai ,Vegetables,7,973,778.4,20,39.0,20,35,4670.4,Wallet,None,No,Yes,1.0,Rider A
10074,C1234,Zepto,Delhi,Snacks,2,1042,885.7,15,0.0,15,24,2657.1,COD,Silver,No,Yes,4.0,Rider E
10075,C1066,Blinkit,Pune,Dairy,2,1084,813.0,25,0.0,10,6,5691.0,Card,Gold,Yes,Yes,2.0,Rider B
10076,C1113,Blinkit,Mumbai,Beverages,5,1047,942.3,10,19.0,15,31,5653.8,COD,Silver,Yes,No,5.0,Rider D
10077,C1259,Zepto,Mumbai,Dairy,1,466,372.8,20,19.0,20,34,1118.4,Wallet,Gold,No,No,4.0,Rider B
10078,C1184,blinkit,Hyderabad,fruit,2,581,581.0,0,29.0,30,26,4067.0,COD,Silver,No,No,5.0,Rider B
10079,C1117,Zepto,Hyderabad,Personal Care,1,777,699.3,10,29.0,10,19,3496.5,COD,None,No,Yes,,Rider A
10080,C1221,BigBasket Now,Hyderabad,Dairy,1,493,468.35,5,19.0,20,34,3746.8,Card,None,Yes,Yes,1.0,Rider A
10081,C1182,Zepto,Delhi,Beverages,5,766,689.4,10,49.0,10,21,2068.2,Card,Silver,No,Yes,2.0,Rider A
10082,C1049,Blinkit,Pune,Vegetables,5,538,403.5,25,39.0,15,24,2017.5,UPI,Gold,No,No,5.0,Rider E
10083,C1022,Blinkit,Hyderabad,Fruits,7,1049,996.55,5,19.0,15,10,3986.2,Card,Gold,Yes,Yes,5.0,Rider E
10084,C1265,BigBasket Now,Hyderabad,Vegetables,5,443,420.85,5,0.0,25,26,2104.25,UPI,None,No,Yes,4.0,Rider D
10085,C1115,Blinkit,Mumbai,Vegetables,1,992,992.0,0,0.0,25,25,5952.0,COD,None,Yes,No,,Rider E
10086,C1151,Zepto,Chennai,Beverages,1,933,699.75,25,19.0,30,33,3498.75,Card,None,Yes,Yes,,Rider C
10087,C1122,BigBasket Now,Pune,Personal Care,8,433,368.05,15,39.0,20,34,368.05,UPI,Silver,Yes,No,2.0,Rider D
10088,C1016,Blinkit,Chennai,Fruits,3,199,159.2,20,29.0,15,14,477.6,UPI,Gold,Yes,Yes,,Rider A
10089,C1186,Zepto,,Personal Care,2,178,133.5,25,59.0,10,7,934.5,UPI,Gold,Yes,Yes,1.0,Rider A
10090,C1147,BigBasket Now,Chennai,Vegetables,2,110,77.0,30,59.0,10,25,308.0,COD,Silver,No,No,3.0,Rider A
10091,C1188,Instamart,Hyderabad,Beverages,8,758,682.2,10,29.0,20,16,682.2,Wallet,Gold,No,Yes,3.0,Rider D
10092,C1046,Instamart,Bengaluru,Snacks,1,138,110.4,20,49.0,30,31,441.6,COD,Gold,Yes,No,4.0,Rider A
10093,C1177,Instamart,Hyderabad,Vegetables,5,1046,784.5,25,19.0,15,25,3138.0,Wallet,Gold,Yes,Yes,4.0,Rider E
10094,C1048,BigBasket Now,Delhi,Personal Care,2,254,190.5,25,39.0,20,26,190.5,COD,,No,No,4.0,Rider E
10095,C1119,BigBasket Now,Bengaluru,Beverages,1,1066,1012.7,5,29.0,25,40,6076.2,Card,Silver,No,Yes,4.0,Rider D
10096,C1171,BigBasket Now,Pune,Personal Care,4,566,452.8,20,49.0,15,14,1811.2,COD,Silver,Yes,Yes,2.0,Rider C
10097,C1167,Zepto,Mumbai,Personal Care,2,1109,998.1,10,19.0,15,17,1996.2,Card,Silver,Yes,Yes,3.0,Rider C
10098,C1054,,Bengaluru,Snacks,8,930,837.0,10,0.0,15,13,837.0,Wallet,Silver,Yes,No,4.0,Rider A
10099,C1207,Blinkit,Pune,Vegetables,7,330,297.0,10,59.0,30,48,2079.0,Card,None,Yes,Yes,,Rider A
10100,C1050,,Bengaluru,Household,7,969,823.65,15,,20,23,2470.95,COD,Silver,No,No,1.0,Rider E
10101,C1167,Blinkit,Delhi,Household,8,878,702.4,20,0.0,15,30,702.4,COD,None,Yes,Yes,,Rider B
10102,C1233,Zepto,Pune,Snacks,1,1103,992.7,10,59.0,10,23,5956.2,COD,Silver,No,Yes,,Rider B
10103,C1182,Blinkit,Mumbai,Dairy,7,843,674.4,20,39.0,10,28,674.4,UPI,Gold,No,No,,Rider C
10104,C1205,Zepto,Delhi,Snacks,4,583,583.0,0,,15,19,1749.0,UPI,None,Yes,No,,Rider E
10105,C1211,BigBasket Now,Mumbai,Household,3,502,351.4,30,39.0,15,21,2108.4,Card,Silver,No,No,4.0,Rider B
10106,C1125,Instamart,Mumbai,Snacks,8,1026,1026.0,0,39.0,20,26,2052.0,COD,Gold,No,No,1.0,Rider A
10107,C1176,Blinkit,Pune,Fruits,4,1196,1076.4,10,0.0,15,26,5382.0,COD,None,Yes,Yes,2.0,Rider B
10108,C1206,Zepto,Hyderabad,Personal Care,2,965,868.5,10,59.0,15,16,4342.5,Card,Silver,Yes,Yes,,Rider D
10109,C1214,Zepto,Bengaluru,Snacks,8,279,223.2,20,49.0,10,13,223.2,Wallet,Silver,Yes,No,2.0,Rider D
10110,C1003,blinkit,Mumbai,Snacks,8,377,301.6,20,59.0,30,48,1508.0,Wallet,Silver,No,No,,Rider A
10111,C1014,Blinkit,Hyderabad,Fruits,6,409,306.75,25,0.0,20,35,2454.0,Wallet,Gold,Yes,Yes,,Rider D
10112,C1187,Instamart,Delhi,Household,4,299,269.1,10,29.0,10,26,1883.7,COD,Silver,No,Yes,3.0,Rider C
10113,C1170,Instamart,Hyderabad,Dairy,4,767,536.9,30,59.0,25,32,4295.2,UPI,Silver,Yes,No,,Rider C
10114,C1204,BigBasket Now,Hyderabad,Beverages,1,301,240.8,20,39.0,10,6,1204.0,UPI,Gold,Yes,Yes,4.0,Rider E
10115,C1192,Zepto,Pune,Personal Care,2,163,114.1,30,19.0,30,42,114.1,Wallet,None,Yes,Yes,,Rider B
10116,C1006,,Bengaluru,Household,5,115,97.75,15,49.0,10,25,488.75,COD,Gold,No,Yes,3.0,Rider A
10117,C1254,Blinkit,Chennai,Household,7,922,737.6,20,49.0,30,26,5163.2,Wallet,Gold,Yes,No,5.0,Rider E
10118,C1052,Blinkit,Pune,Snacks,4,358,304.3,15,19.0,25,37,304.3,Wallet,Gold,Yes,Yes,1.0,Rider B
10119,C1141,Zepto,,Personal Care,3,288,273.6,5,0.0,25,20,1641.6,Card,None,Yes,No,,Rider E
10120,C1016,Blinkit,Chennai,Fruits,2,1060,901.0,15,39.0,20,16,4505.0,COD,None,Yes,No,5.0,Rider A
10121,C1224,BigBasket Now,Pune,Vegetables,3,687,618.3,10,0.0,30,48,3709.8,Card,None,No,No,4.0,Rider D
10122,C1149,Instamart,Chennai,Beverages,6,597,417.9,30,49.0,30,35,417.9,Card,None,No,No,2.0,Rider D
10123,C1119,BigBasket Now,Mumbai,Personal Care,1,833,624.75,25,29.0,25,39,3123.75,COD,Silver,Yes,Yes,3.0,Rider B
10124,C1255,Instamart,Hyderabad,Fruits,8,341,306.9,10,39.0,30,46,1227.6,Card,Silver,Yes,No,,Rider B
10125,C1235,Blinkit,Hyderabad,Household,6,561,448.8,20,0.0,10,17,1795.2,Wallet,None,No,No,4.0,Rider E
10126,C1047,Zepto,Pune,Dairy,6,453,430.35,5,49.0,15,16,2582.1,Wallet,None,Yes,Yes,1.0,Rider D
10127,C1237,Blinkit,Bengaluru,Dairy,1,806,564.2,30,29.0,10,16,2821.0,UPI,Gold,Yes,Yes,5.0,Rider D
10128,C1049,BigBasket Now,Hyderabad,Household,3,477,429.3,10,29.0,20,28,429.3,COD,Gold,Yes,No,1.0,Rider A
10129,C1234,BigBasket Now,Chennai,Household,7,144,144.0,0,0.0,30,36,288.0,COD,Silver,Yes,Yes,,Rider E
10130,C1189,Zepto,Pune,Vegetables,3,845,802.75,5,0.0,25,25,4013.75,COD,Gold,Yes,Yes,3.0,Rider E
10131,C1162,Blinkit,Bengaluru,Personal Care,5,1030,1030.0,0,49.0,10,9,8240.0,UPI,Silver,No,No,3.0,Rider D
10132,C1086,blinkit,Bengaluru,Household,3,294,264.6,10,59.0,25,32,264.6,Wallet,None,Yes,Yes,,Rider B
10133,C1071,BigBasket Now,Chennai,Snacks,1,199,159.2,20,59.0,20,38,318.4,Wallet,Silver,No,Yes,4.0,Rider A
10134,C1029,Zepto,Pune,Snacks,3,789,749.55,5,39.0,20,22,2248.65,COD,Silver,No,Yes,2.0,Rider A
10135,C1085,Instamart,Delhi,Fruits,6,595,476.0,20,39.0,20,25,3808.0,UPI,Gold,Yes,Yes,5.0,Rider D
10136,C1186,BigBasket Now,Mumbai,Vegetables,4,626,626.0,0,0.0,20,21,4382.0,COD,Silver,Yes,Yes,,Rider C
10137,C1259,Instamart,Hyderabad,Vegetables,8,335,251.25,25,0.0,10,19,1256.25,Card,Silver,No,Yes,4.0,Rider B
10138,C1092,Zepto,Pune,Vegetables,4,606,484.8,20,49.0,15,14,969.6,UPI,None,No,No,2.0,Rider B
10139,C1157,Zepto,Chennai,Fruits,7,320,256.0,20,59.0,15,28,256.0,COD,Silver,No,No,1.0,Rider A
10140,C1136,Zepto,Bengaluru,Beverages,6,878,614.6,30,0.0,25,24,1843.8,COD,None,Yes,No,,Rider D
10141,C1125,Instamart,Pune,Household,7,1096,1096.0,0,49.0,10,16,1096.0,COD,Gold,No,No,5.0,Rider A
10142,C1010,Zepto,Chennai,Vegetables,3,1126,788.2,30,19.0,30,29,1576.4,COD,Silver,Yes,Yes,1.0,Rider B
10143,C1295,BigBasket Now,Hyderabad,Vegetables,8,575,575.0,0,0.0,30,45,3450.0,UPI,None,Yes,Yes,3.0,Rider A
10144,C1143,Blinkit,Chennai,Fruits,7,992,843.2,15,19.0,30,41,3372.8,Card,Gold,No,No,2.0,Rider A
10145,C1269,Blinkit,Delhi,Fruits,6,836,627.0,25,29.0,25,39,4389.0,Card,Silver,No,No,4.0,Rider E
10146,C1180,Zepto,Delhi,Personal Care,1,149,134.1,10,29.0,30,29,268.2,Card,Gold,No,No,2.0,Rider E
10147,C1203,BigBasket Now,Pune,Fruits,1,82,77.9,5,0.0,15,23,389.5,COD,None,Yes,Yes,3.0,Rider A
10148,C1020,Instamart,Chennai,Dairy,6,1105,1105.0,0,59.0,25,27,3315.0,UPI,Gold,No,Yes,4.0,Rider E
10149,C1261,Zepto,Mumbai,Snacks,5,1133,1076.35,5,29.0,25,23,4305.4,UPI,None,No,No,5.0,Rider E
10150,C1280,Instamart,,Beverages,5,493,369.75,25,49.0,25,26,2958.0,Wallet,Silver,Yes,Yes,3.0,Rider B
10151,C1299,BigBasket Now,Chennai,Dairy,3,426,340.8,20,19.0,30,37,2044.8,COD,Silver,No,No,2.0,Rider C
10152,C1282,Blinkit,Hyderabad,Household,6,156,109.2,30,39.0,10,10,109.2,Wallet,Silver,No,Yes,5.0,Rider B
10153,C1180,Zepto,Pune,Vegetables,5,356,302.6,15,49.0,20,36,605.2,Wallet,Silver,Yes,No,1.0,Rider A
10154,C1060,BigBasket Now,Delhi,Beverages,3,880,616.0,30,39.0,30,43,3080.0,UPI,Silver,No,No,3.0,Rider C
10155,C1284,BigBasket Now,Pune,Dairy,1,639,575.1,10,,25,36,4600.8,Wallet,Silver,No,Yes,5.0,Rider C
10156,C1297,Zepto,Chennai,Household,6,336,285.6,15,29.0,30,37,1142.4,COD,Gold,No,Yes,1.0,Rider A
10157,C1274,Instamart,Hyderabad,Beverages,7,565,452.0,20,49.0,25,29,3164.0,Wallet,Silver,No,Yes,5.0,Rider C
10158,C1117,Blinkit,Delhi,Dairy,7,967,967.0,0,59.0,10,21,2901.0,Card,Silver,No,No,4.0,Rider E
10159,C1047,,Mumbai,Dairy,6,743,557.25,25,0.0,30,48,2786.25,Card,Gold,No,No,5.0,Rider D
10160,C1106,Zepto,Delhi,Vegetables,1,360,288.0,20,59.0,20,31,576.0,COD,None,Yes,No,1.0,Rider A
10161,C1155,BigBasket Now,Chennai,Beverages,1,668,501.0,25,59.0,30,25,501.0,Card,Gold,No,No,,Rider E
10162,C1210,Blinkit,Bengaluru,Vegetables,2,1093,1038.35,5,0.0,30,31,2076.7,UPI,Gold,No,No,5.0,Rider D
10163,C1296,Instamart,Bengaluru,Personal Care,4,167,125.25,25,29.0,10,26,626.25,Card,Gold,No,Yes,5.0,Rider A
10164,C1197,Blinkit,Chennai,Vegetables,7,754,716.3,5,49.0,25,39,716.3,Wallet,Gold,Yes,Yes,2.0,Rider A
10165,C1003,BigBasket Now,Mumbai,Snacks,5,366,292.8,20,39.0,15,20,585.6,Card,None,No,Yes,4.0,Rider C
10166,C1124,Blinkit,Bengaluru,Vegetables,6,856,642.0,25,39.0,25,20,1926.0,UPI,Silver,No,No,1.0,Rider C
10167,C1206,Blinkit,Chennai,Snacks,6,1133,793.1,30,49.0,25,30,3172.4,Wallet,Gold,No,No,3.0,Rider B
10168,C1012,Instamart,Bengaluru,Vegetables,3,932,932.0,0,0.0,20,36,3728.0,COD,None,Yes,No,4.0,Rider B
10169,C1207,BigBasket Now,Pune,Beverages,4,366,329.4,10,29.0,20,21,2635.2,Card,Gold,No,Yes,,Rider C
10170,C1126,BigBasket Now,Hyderabad,Beverages,4,941,752.8,20,19.0,20,32,1505.6,UPI,None,No,No,1.0,Rider E
10171,C1044,Zepto,Bengaluru,Dairy,4,337,303.3,10,59.0,10,17,606.6,UPI,None,No,No,2.0,Rider A
10172,C1064,BigBasket Now,Mumbai,Dairy,7,677,677.0,0,39.0,15,19,2031.0,COD,Gold,Yes,No,,Rider C
10173,C1205,Instamart, Chennai ,Fruits,3,884,884.0,0,29.0,25,27,1768.0,COD,None,Yes,Yes,4.0,Rider A
10174,C1079,BigBasket Now,Pune,Fruits,5,371,315.35,15,59.0,15,19,946.05,Card,None,No,No,4.0,Rider E
10175,C1146,Blinkit,Hyderabad,Beverages,1,754,754.0,0,19.0,10,25,1508.0,UPI,Silver,Yes,No,,Rider A
10176,C1113,Instamart,Hyderabad,Fruits,6,894,670.5,25,39.0,25,43,5364.0,COD,None,No,Yes,,Rider B
10177,C1250,Zepto,Chennai,Personal Care,5,917,687.75,25,19.0,30,29,2063.25,Card,None,No,Yes,1.0,Rider B
10178,C1103,Instamart,Bengaluru,Vegetables,8,772,694.8,10,59.0,25,22,5558.4,Card,None,Yes,Yes,5.0,Rider D
10179,C1153,Zepto,Pune,Vegetables,4,312,234.0,25,29.0,20,37,468.0,Wallet,Gold,Yes,No,4.0,Rider B
10180,C1184,BigBasket Now,Bengaluru,Fruits,1,274,205.5,25,29.0,20,15,1027.5,Card,Gold,No,No,1.0,Rider B
10181,C1185,Instamart,Bengaluru,Beverages,2,704,598.4,15,0.0,25,38,598.4,Wallet,Silver,Yes,No,,Rider E
10182,C1250,Zepto,Hyderabad,Dairy,1,581,581.0,0,29.0,25,33,1162.0,COD,None,No,Yes,1.0,Rider B
10183,C1151,Instamart,Bengaluru,Personal Care,3,96,96.0,0,0.0,25,24,480.0,COD,Silver,Yes,No,3.0,Rider B
10184,C1129,Zepto, Chennai ,Fruits,2,794,754.3,5,49.0,30,36,5280.1,UPI,Gold,No,No,4.0,Rider B
10185,C1041,Zepto,Pune,Vegetables,3,653,522.4,20,19.0,30,45,4179.2,Wallet,Gold,Yes,No,4.0,Rider B
10186,C1016,BigBasket Now,Bengaluru,Dairy,2,487,365.25,25,59.0,20,15,365.25,Wallet,Silver,Yes,No,,Rider B
10187,C1226,Instamart,Hyderabad,Vegetables,8,376,319.6,15,0.0,20,15,1917.6,Wallet,Silver,Yes,No,5.0,Rider E
10188,C1169,,Hyderabad,Beverages,7,206,144.2,30,29.0,10,28,1153.6,Card,Silver,No,Yes,2.0,Rider B
10189,C1296,,Hyderabad,Beverages,7,956,717.0,25,29.0,10,9,2868.0,Wallet,Silver,No,Yes,2.0,Rider B
10190,C1129,Blinkit,Bengaluru,Beverages,5,455,364.0,20,59.0,10,12,2912.0,Card,None,No,Yes,5.0,Rider E
10191,C1290,Blinkit,Delhi,Personal Care,2,271,203.25,25,39.0,30,43,609.75,UPI,None,Yes,No,,Rider D
10192,C1243,Blinkit,Bengaluru,Dairy,1,1154,1096.3,5,39.0,15,28,4385.2,UPI,Silver,Yes,Yes,,Rider E
10193,C1069,BigBasket Now,Chennai,Beverages,4,476,404.6,15,49.0,20,18,809.2,COD,Gold,No,No,,Rider A
10194,C1262,Instamart,Pune,Snacks,1,563,563.0,0,,15,21,3378.0,UPI,Silver,No,Yes,1.0,Rider B
10195,C1228,Blinkit,Hyderabad,Snacks,2,561,504.9,10,,15,32,4039.2,UPI,Gold,No,Yes,2.0,Rider E
10196,C1128,Instamart,Delhi,Fruits,1,633,443.1,30,29.0,25,24,1329.3,Wallet,None,No,Yes,1.0,Rider A
10197,C1243,Zepto,Pune,Household,8,413,330.4,20,39.0,30,37,1321.6,UPI,Silver,No,Yes,3.0,Rider B
10198,C1239,Instamart,Hyderabad,Snacks,7,129,122.55,5,29.0,15,21,735.3,UPI,Silver,No,No,2.0,Rider A
10199,C1074,Zepto,Mumbai,Snacks,5,549,466.65,15,0.0,30,26,2333.25,COD,None,Yes,Yes,5.0,Rider A
10200,C1292,Blinkit,Mumbai,Household,5,448,313.6,30,19.0,25,40,940.8,UPI,Silver,No,No,5.0,Rider B
10201,C1207,Instamart,Chennai,Personal Care,6,757,529.9,30,59.0,30,47,3179.4,Wallet,None,No,Yes,,Rider C
10202,C1232,BigBasket Now, Chennai ,Snacks,5,348,330.6,5,19.0,15,10,661.2,Card,Silver,No,No,,Rider E
10203,C1097,Blinkit,Hyderabad,Vegetables,5,1169,876.75,25,49.0,20,17,5260.5,Wallet,Silver,No,Yes,4.0,Rider C
10204,C1011,Zepto,Pune,Dairy,4,398,358.2,10,59.0,20,32,358.2,Card,Gold,No,No,2.0,Rider E
